technology,dst_region,region,agent,sector,type,year,capacity
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2030,44.73990000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2030,86.52480000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2030,28.03590000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2030,29.85240000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2030,67.69290000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2030,114.29170000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2030,86.80890000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2030,65.02450000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2030,3.26400000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2030,54.24560000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2030,66.57080000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2030,6.28510000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2030,5.07480000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2030,3.51940000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2030,7.66680000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2030,81.14380000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2030,15.74430000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2030,8.37270000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2030,5.98520000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2030,1.61310000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2035,0.61310000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2035,44.73990000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2035,86.52480000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2035,55.74080000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2035,28.03590000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2035,29.85240000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2035,49.30760000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,65.79010000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,114.29170000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,67.75190000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2035,84.54290000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2035,65.02450000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2035,64.26830000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2035,1.95840000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2035,53.11580000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2035,66.57080000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2035,56.09510000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2035,6.28510000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2035,1.52950000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2035,3.04490000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2035,2.11170000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2035,7.66680000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2035,1.11300000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2035,81.14380000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2035,15.74430000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2035,8.20090000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2035,3.27520000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2035,5.87620000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2035,1.61310000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2035,3.60620000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2040,0.36780000000
