,timeslice,region,technology,year,agent,category,sector,LCOE
22522,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,25.88770234503
22523,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,55.40181649248
22524,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,47.88108918852
22525,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,30.60903448025
22526,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,30.60903448025
22527,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,34.98456383435
22528,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,34.98456383435
22529,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,28.01384311363
22530,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,34.98456383435
22531,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,28.01384311363
22532,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,34.98456383435
22533,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,28.01384311363
22534,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,34.98456383435
22535,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,28.01384311363
22536,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,34.98456383435
22537,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,0.00000000000
22538,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,0.00000000000
22539,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,18.34254185622
22540,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,8.42656472547
