,region,year,agent,replacement_,asset_,month,day,hour,LCOE,category,name
58,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Distributed with Storage),spring,all-week,day,26.511358401679626,retrofit,A1
59,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Distributed with Storage),spring,all-week,night,26.511358401679626,retrofit,A1
60,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Distributed with Storage),summer,all-week,day,26.511358401679626,retrofit,A1
61,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Distributed with Storage),summer,all-week,night,26.511358401679626,retrofit,A1
62,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Distributed with Storage),winter,all-week,day,26.511358401679626,retrofit,A1
63,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Distributed with Storage),winter,all-week,night,26.511358401679626,retrofit,A1
64,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Utility),autumn,all-week,day,26.511358401679622,retrofit,A1
65,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Utility),autumn,all-week,night,26.511358401679622,retrofit,A1
66,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Utility),spring,all-week,day,26.511358401679622,retrofit,A1
67,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Utility),spring,all-week,night,26.511358401679622,retrofit,A1
68,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Utility),summer,all-week,day,26.511358401679622,retrofit,A1
69,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Utility),summer,all-week,night,26.511358401679622,retrofit,A1
70,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Utility),winter,all-week,day,26.511358401679622,retrofit,A1
71,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,Biomass Power Plant,Solar PV (Utility),winter,all-week,night,26.511358401679622,retrofit,A1
72,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Biomass Power Plant,autumn,all-week,day,38.62963780822227,retrofit,A1
73,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Biomass Power Plant,autumn,all-week,night,232.80793458968625,retrofit,A1
74,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Biomass Power Plant,spring,all-week,day,38.62963780822227,retrofit,A1
75,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Biomass Power Plant,spring,all-week,night,232.80793458968625,retrofit,A1
76,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Biomass Power Plant,summer,all-week,day,38.62963780822227,retrofit,A1
