lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
IDN1PWRHYD001,IDN,PWRHYD001,1,Bakaru12954,80.0,1974,0.126
IDN2PWRHYD001,IDN,PWRHYD001,2,Balambano12955,80.0,1974,0.13
IDN0PWRHYD003,IDN,PWRHYD003,0,BengkokDagosa12958,80.0,1974,0.004
IDN0PWRHYD002,IDN,PWRHYD002,0,BesaiWayKan12959,80.0,1974,0.093
IDN1PWRHYD002,IDN,PWRHYD002,1,Bilibili12960,80.0,1974,0.02
IDN3PWRHYD001,IDN,PWRHYD001,3,Capacity Scaler,80.0,1974,0.8454080001
IDN2PWRHYD002,IDN,PWRHYD002,2,Cikalongsaguli12963,80.0,1974,0.019
IDN4PWRHYD001,IDN,PWRHYD001,4,CirataIII12966,80.0,1974,1.008
IDN1PWRHYD003,IDN,PWRHYD003,1,GiringanPame12970,80.0,1974,0.003
IDN2PWRHYD003,IDN,PWRHYD003,2,GolangPameka12971,80.0,1974,0.003
IDN5PWRHYD001,IDN,PWRHYD001,5,Jatiluhur12974,80.0,1974,0.186
IDN3PWRHYD003,IDN,PWRHYD003,3,Ketengermric12983,80.0,1974,0.008
IDN4PWRHYD003,IDN,PWRHYD003,4,KlambuMrica12984,80.0,1974,0.001
IDN6PWRHYD001,IDN,PWRHYD001,6,KotoPanjangKa12985,80.0,1974,0.114
IDN3PWRHYD002,IDN,PWRHYD002,3,Kracaksaguling12986,80.0,1974,0.019
IDN4PWRHYD002,IDN,PWRHYD002,4,Lamajansagulin12989,80.0,1974,0.02
IDN7PWRHYD001,IDN,PWRHYD001,7,Larona12991,80.0,1974,0.165
IDN5PWRHYD002,IDN,PWRHYD002,5,LauRenun12992,80.0,1974,0.082
IDN5PWRHYD003,IDN,PWRHYD003,5,LodoyoBranta12993,80.0,1974,0.005
IDN8PWRHYD001,IDN,PWRHYD001,8,ManinjauIII12994,80.0,1974,0.123
IDN6PWRHYD002,IDN,PWRHYD002,6,MendalanBran12996,80.0,1974,0.023
IDN9PWRHYD001,IDN,PWRHYD001,9,Musi12999,80.0,1974,0.215
IDN6PWRHYD003,IDN,PWRHYD003,6,NgebelPameka13000,80.0,1974,0.002
IDN10PWRHYD001,IDN,PWRHYD001,10,PB,80.0,1974,0.181
IDN7PWRHYD003,IDN,PWRHYD003,7,PejengkolanMri13094,80.0,1974,0.001
IDN8PWRHYD003,IDN,PWRHYD003,8,PlenganSagulin13101,80.0,1974,0.007
IDN7PWRHYD002,IDN,PWRHYD002,7,RiamKananpang13103,80.0,1974,0.03
IDN11PWRHYD001,IDN,PWRHYD001,11,Saguling13104,80.0,1974,0.7
IDN9PWRHYD003,IDN,PWRHYD003,9,SemporMrica13105,80.0,1974,0.001
IDN8PWRHYD002,IDN,PWRHYD002,8,SengguruhBra13106,80.0,1974,0.029
