,timeslice,region,technology,year,agent,category,sector,LCOE
28831,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.63278840806
28832,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,14.01403817233
28833,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,29.50322575210
28834,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.63278840806
28835,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,19.21014383243
28836,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,19.21014383243
28837,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,16.63219558050
28838,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,12.83586708806
28839,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,12.83586708806
28840,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,7.34406708261
28841,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.63278840806
28842,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.63278840806
28843,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,14.01403817233
28844,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,29.50322575210
28845,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.63278840806
28846,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,19.21014383243
28847,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,19.21014383243
28848,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,0.00000000000
28849,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,0.00000000000
28850,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,0.00000000000
28851,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,0.00000000000
28852,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,0.00000000000
28853,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,0.00000000000
28854,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,14.70851043545
28855,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,6.12654483891
28856,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,7.20161784944
28857,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,76.35843685838
28858,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,7.20161784944
28859,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,48.33398348929
28860,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,24.61208779607
28861,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,16.02542569280
28862,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,16.02542569280
28863,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,6.12654483891
28864,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,14.70851043545
28865,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,6.12654483891
28866,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,14.70851043545
28867,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,6.12654483891
28868,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,14.70851043545
28869,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,10.70789679487
28870,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,10.70789679487
28871,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,6.12654483891
28872,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,7.20161784944
28873,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,7.20161784944
28874,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,11.69074693435
