ProcessName,Time,UtilizationFactor,day,season,MinimumServiceFactor,RegionName,ObjSort
CSP without Storage,2015,0.45,day,autumn,0,Gambia,Upper
CSP without Storage,2020,0.45,night,winter,0,Gambia,Upper
CSP without Storage,2020,0.45,day,winter,0,Gambia,Upper
CSP without Storage,2020,0.45,night,spring,0,Gambia,Upper
CSP without Storage,2020,0.45,day,spring,0,Gambia,Upper
CSP without Storage,2020,0.45,night,summer,0,Gambia,Upper
CSP without Storage,2020,0.45,day,summer,0,Gambia,Upper
CSP without Storage,2020,0.45,night,autumn,0,Gambia,Upper
CSP without Storage,2020,0.45,day,autumn,0,Gambia,Upper
CSP without Storage,2025,0.45,night,winter,0,Gambia,Upper
CSP without Storage,2025,0.45,day,winter,0,Gambia,Upper
CSP without Storage,2025,0.45,night,spring,0,Gambia,Upper
CSP without Storage,2025,0.45,day,spring,0,Gambia,Upper
CSP without Storage,2025,0.45,night,summer,0,Gambia,Upper
CSP without Storage,2025,0.45,day,summer,0,Gambia,Upper
CSP without Storage,2025,0.45,night,autumn,0,Gambia,Upper
CSP without Storage,2025,0.45,day,autumn,0,Gambia,Upper
CSP without Storage,2030,0.45,night,winter,0,Gambia,Upper
CSP without Storage,2030,0.45,day,winter,0,Gambia,Upper
CSP without Storage,2030,0.45,night,spring,0,Gambia,Upper
CSP without Storage,2030,0.45,day,spring,0,Gambia,Upper
CSP without Storage,2030,0.45,night,summer,0,Gambia,Upper
CSP without Storage,2030,0.45,day,summer,0,Gambia,Upper
CSP without Storage,2030,0.45,night,autumn,0,Gambia,Upper
CSP without Storage,2030,0.45,day,autumn,0,Gambia,Upper
CSP without Storage,2040,0.45,night,winter,0,Gambia,Upper
CSP without Storage,2040,0.45,day,winter,0,Gambia,Upper
CSP without Storage,2040,0.45,night,spring,0,Gambia,Upper
CSP without Storage,2040,0.45,day,spring,0,Gambia,Upper
CSP without Storage,2040,0.45,night,summer,0,Gambia,Upper
CSP without Storage,2040,0.45,day,summer,0,Gambia,Upper
CSP without Storage,2040,0.45,night,autumn,0,Gambia,Upper
