,timeslice,commodity,region,technology,year,agent,category,sector,supply
37,"('spring', 'all-week', 'day')",biomass,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
38,"('spring', 'all-week', 'day')",coal,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
39,"('spring', 'all-week', 'day')",gas,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
40,"('spring', 'all-week', 'day')",geothermal,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
41,"('spring', 'all-week', 'day')",hydro,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
42,"('spring', 'all-week', 'day')",hfo,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
43,"('spring', 'all-week', 'day')",lfo,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
44,"('spring', 'all-week', 'day')",solar,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
45,"('spring', 'all-week', 'day')",uranium,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
46,"('spring', 'all-week', 'day')",wind,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
47,"('spring', 'all-week', 'day')",electricity,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
48,"('summer', 'all-week', 'night')",CO2f,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
49,"('summer', 'all-week', 'night')",biomass,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
50,"('summer', 'all-week', 'night')",coal,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
51,"('summer', 'all-week', 'night')",gas,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
52,"('summer', 'all-week', 'night')",geothermal,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
