ProcessName,RegionName,Time,StdUnitCapacity,TechnicalLife,GrossEfficiency,OwnUseRate,Availability,MinLoadRate,CCSCaptureRate,DayStorageOutput,CAPEX,OPEX,DiscountRate,RunningCost
Unit,Unit,Year,MW,Year,%,%,%,%,%,GWh,USD/KW,USD/KW,%,USD/KWh
COA_SUB_LN,ASEAN,2015,5000,30,34,7,95,0,0,0,1124.54,22.49,10,0.001
COA_USC_HC,ASEAN,2015,5000,30,45,7,95,0,0,0,1653.447269,33.06894538,10,0.001
COA_USC_LN,ASEAN,2015,5000,30,42,7,95,0,0,0,1736.119632,34.72239265,10,0.001
GAS_CC,ASEAN,2015,5000,30,55,7,95,0,0,0,1225.18,16.69,10,0.001
CCS_NGCC_OXY,ASEAN,2015,5000,30,45,7,95,0,85,0,2192.06,61.55,10,0.001
GAS_GT,ASEAN,2015,5000,35,36,7,95,0,0,0,892.8499252,12.1628375,10,0.001
REW_GEO,ASEAN,2015,1000,40,10,6,95,0,0,0,4491,34.42,10,0.001
REW_HYD_LG,ASEAN,2015,1000,100,100,1,95,0,0,0,3776.04,37.88,10,0.001
REW_HYD_SM,ASEAN,2015,1000,100,100,1,95,0,0,0,2101.96,21.08,10,0.001
NUK_LWR,ASEAN,2015,5000,40,36,6,95,60,0,0,4073.16,44.32,10,0.001
BIO_BIO,ASEAN,2015,3000,30,30,7,95,0,0,0,5635.53,53.62,10,0.001
CCS_IGCC_BIO,ASEAN,2015,3000,30,28,7,95,0,85,0,5316.88,86.02,10,0.001
COA_SC_HC,ASEAN,2015,5000,40,40,7,95,0,0,0,1462.664892,29.25329784,10,0.001
COA_IGCC_HC,ASEAN,2015,5000,40,44,7,95,0,0,0,2543.765029,50.87530058,10,0.001
CCS_USC_POS_HC,ASEAN,2015,5000,40,34,7,95,0,85,0,2731.782444,81.95347333,10,0.001
CCS_USC_OXY_HC,ASEAN,2015,5000,40,34,7,95,0,85,0,2875.560468,86.26681403,10,0.001
CCS_USC_PRE_HC,ASEAN,2015,5000,40,31,7,95,0,85,0,3346.029385,100.3808815,10,0.001
COA_SC_LN,ASEAN,2015,5000,40,38,7,95,0,0,0,1535.798136,30.71596273,10,0.001
COA_IGCC_LN,ASEAN,2015,5000,40,42,7,95,0,0,0,2670.953281,53.41906561,10,0.001
CCS_USC_POS_LN,ASEAN,2015,5000,40,32,7,95,0,85,0,2868.371567,86.051147,10,0.001
CCS_NGCC_POS,ASEAN,2015,5000,35,47,7,95,0,85,0,1184.67369,29.61684225,10,0.001
OIL_ST,ASEAN,2015,5000,30,36,7,95,0,0,0,1199.070766,28.77769839,10,0.001
STR_HPS,ASEAN,2015,1000,60,80,0,98,0,0,0.6,2394.092,47.88183,10,0.001
STR_BAT,ASEAN,2015,1000,60,80,0,98,0,0,0.6,1156,11.56,10,0.001
REW_WND_ON,ASEAN,2020,1000,20,100,0,95,0,0,0,1455.58,24.16,10,0.001
REW_WND_OFF,ASEAN,2020,1000,20,100,0,95,0,0,0,3511.12,50.97,10,0.001
REW_PV_GND,ASEAN,2020,1000,26,100,6,95,0,0,0,1105.59,9.33,10,0.001
REW_PV_RFT,ASEAN,2020,1000,24,100,6,95,0,0,0,2158.61,12.13,10,0.001
REW_CSP_NST,ASEAN,2020,1000,25,100,0,95,0,0,0,4098,16.4,10,0.001
COA_SUB_HC,ASEAN,2020,5000,30,35,7,95,0,0,0,1070.99,21.42,10,0.001
COA_SUB_LN,ASEAN,2020,5000,30,34,7,95,0,0,0,1124.54,22.49,10,0.001
COA_USC_HC,ASEAN,2020,5000,30,46,7,95,0,0,0,1653.447269,33.06894538,10,0.001
COA_USC_LN,ASEAN,2020,5000,30,43,7,95,0,0,0,1736.119632,34.72239265,10,0.001
GAS_CC,ASEAN,2020,5000,30,56.33333333,7,95,0,0,0,1225.18,16.24,10,0.001
CCS_NGCC_OXY,ASEAN,2020,5000,30,46.66666667,7,95,0,85,0,2192.06,61.55,10,0.001
GAS_GT,ASEAN,2020,5000,35,36.66666667,7,95,0,0,0,892.8499252,11.8349,10,0.001
