,timeslice,commodity,region,installed,technology,year,agent,category,sector,supply
9743,"('winter', 'all-week', 'night')",wind,Kenya,2025.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9744,"('winter', 'all-week', 'night')",wind,Kenya,2030.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9745,"('winter', 'all-week', 'night')",wind,Kenya,2035.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9746,"('winter', 'all-week', 'night')",wind,Kenya,2040.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9747,"('winter', 'all-week', 'night')",wind,Kenya,2040.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9748,"('winter', 'all-week', 'night')",wind,Kenya,2040.00000000000,Gas Power Plant (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
9749,"('winter', 'all-week', 'night')",wind,Kenya,2040.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9750,"('winter', 'all-week', 'night')",wind,Kenya,2040.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9751,"('winter', 'all-week', 'night')",wind,Kenya,2045.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9752,"('winter', 'all-week', 'night')",wind,Kenya,2045.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9753,"('winter', 'all-week', 'night')",wind,Kenya,2045.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9754,"('winter', 'all-week', 'night')",wind,Kenya,2045.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9755,"('winter', 'all-week', 'night')",wind,Kenya,2050.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9756,"('winter', 'all-week', 'night')",wind,Kenya,2050.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9757,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00822428495
9758,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.06049601247
9759,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Large Hydropower Plant (Dam) (>100MW),2050.00000000000,A1,retrofit,power,0.03613625482
9760,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Light Fuel Oil Power Plant,2050.00000000000,A1,retrofit,power,0.04203523419
