,timeslice,region,technology,year,agent,category,sector,LCOE
20447,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,6.68361254833
20448,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,0.00000000000
20449,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,0.00000000000
20450,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,11.32895918876
20451,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,3.98758835366
20452,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,4.68732165179
20453,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,74.73846056548
20454,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,4.68732165179
20455,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,46.51741948881
20456,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,16.01928277304
20457,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,10.43047779456
20458,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,10.43047779456
20459,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,3.98758835366
20460,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,11.32895918876
20461,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,3.98758835366
20462,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,11.32895918876
20463,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,3.98758835366
20464,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,11.32895918876
20465,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,19.65205769841
20466,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,3.98758835366
20467,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,11.32895918876
20468,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,19.65205769841
20469,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,3.98758835366
20470,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,0.00000000000
20471,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (SCGT),2050,A1,retrofit,power,0.00000000000
20472,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,41.40419516031
20473,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,23.02254782933
20474,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,27.06249691224
20475,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,93.53548304769
20476,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,27.06249691224
20477,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,65.31444197103
20478,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,92.48820419504
20479,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,60.22092806600
20480,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,60.22092806600
20481,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,23.02254782933
20482,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,41.40419516031
20483,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,23.02254782933
20484,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,41.40419516031
20485,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,23.02254782933
20486,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,41.40419516031
20487,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,37.34337297579
20488,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,23.02254782933
20489,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,41.40419516031
20490,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,37.34337297579
20491,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,23.02254782933
20492,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,0.00000000000
20493,"('spring', 'all-week', 'day')",Kenya,Geothermal Power Plant,2050,A1,retrofit,power,0.00000000000
20494,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,30.66769417736
20495,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,16.22729404265
20496,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,19.07482587935
20497,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,86.91722176413
20498,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,19.07482587935
20499,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,58.65941784939
20500,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,65.18971015200
