technology,dst_region,region,agent,sector,type,year,capacity
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2030,5.66510000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2030,3.26400000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2030,4.70770000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2030,5.07480000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2030,3.51940000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2030,0.42960000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2030,0.27250000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2035,0.61310000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,37.30350000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,31.22640000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,60.87330000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2035,7.95060000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,6.00000000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2035,3.39910000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2035,1.95840000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2035,4.70770000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2035,3.04490000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2035,2.11170000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2035,0.25780000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2035,0.16350000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2040,0.36780000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,37.30350000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,31.22640000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,60.87330000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,56.41930000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2040,7.95060000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2040,3.96630000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,4.00000000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2040,2.03940000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2040,1.17500000000
