,region,year,agent,replacement_,asset_,month,day,hour,LCOE,category,name
35,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Medium Hydropower Plant (10-100MW),spring,all-week,night,26.511358401679626,newcapa,A1
36,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Medium Hydropower Plant (10-100MW),summer,all-week,day,26.511358401679626,newcapa,A1
37,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Medium Hydropower Plant (10-100MW),summer,all-week,night,26.511358401679626,newcapa,A1
38,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Medium Hydropower Plant (10-100MW),winter,all-week,day,26.511358401679626,newcapa,A1
39,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Medium Hydropower Plant (10-100MW),winter,all-week,night,26.511358401679626,newcapa,A1
40,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),autumn,all-week,day,26.511358401679626,newcapa,A1
41,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),autumn,all-week,night,26.511358401679626,newcapa,A1
42,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),spring,all-week,day,26.511358401679626,newcapa,A1
43,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),spring,all-week,night,26.511358401679626,newcapa,A1
44,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),summer,all-week,day,26.511358401679626,newcapa,A1
45,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),summer,all-week,night,26.511358401679626,newcapa,A1
46,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),winter,all-week,day,26.511358401679626,newcapa,A1
47,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Oil Fired Gas Turbine (SCGT),winter,all-week,night,26.511358401679626,newcapa,A1
48,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Onshore Wind,autumn,all-week,day,26.511358401679626,newcapa,A1
49,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Onshore Wind,autumn,all-week,night,26.511358401679626,newcapa,A1
50,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Onshore Wind,spring,all-week,day,26.511358401679626,newcapa,A1
51,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Onshore Wind,spring,all-week,night,26.511358401679626,newcapa,A1
52,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Onshore Wind,summer,all-week,day,26.511358401679626,newcapa,A1
53,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Onshore Wind,summer,all-week,night,26.511358401679626,newcapa,A1
54,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Onshore Wind,winter,all-week,day,26.511358401679626,newcapa,A1
55,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Onshore Wind,winter,all-week,night,26.511358401679626,newcapa,A1
56,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Distributed with Storage),autumn,all-week,day,26.511358401679622,newcapa,A1
57,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Distributed with Storage),autumn,all-week,night,26.511358401679622,newcapa,A1
58,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Distributed with Storage),spring,all-week,day,26.511358401679622,newcapa,A1
59,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Distributed with Storage),spring,all-week,night,26.511358401679622,newcapa,A1
60,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Distributed with Storage),summer,all-week,day,26.511358401679622,newcapa,A1
61,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Distributed with Storage),summer,all-week,night,26.511358401679622,newcapa,A1
62,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Distributed with Storage),winter,all-week,day,26.511358401679622,newcapa,A1
63,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Distributed with Storage),winter,all-week,night,26.511358401679622,newcapa,A1
64,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Utility),autumn,all-week,day,26.511358401679622,newcapa,A1
65,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Utility),autumn,all-week,night,26.511358401679622,newcapa,A1
66,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Utility),spring,all-week,day,26.511358401679622,newcapa,A1
67,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Utility),spring,all-week,night,26.511358401679622,newcapa,A1
68,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Utility),summer,all-week,day,26.511358401679622,newcapa,A1
69,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Utility),summer,all-week,night,26.511358401679622,newcapa,A1
70,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Utility),winter,all-week,day,26.511358401679622,newcapa,A1
71,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,Biomass Power Plant,Solar PV (Utility),winter,all-week,night,26.511358401679622,newcapa,A1
72,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Biomass Power Plant,autumn,all-week,day,31.154603226098846,newcapa,A1
73,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Biomass Power Plant,autumn,all-week,night,187.75839284142236,newcapa,A1
74,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Biomass Power Plant,spring,all-week,day,31.154603226098846,newcapa,A1
75,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Biomass Power Plant,spring,all-week,night,187.75839284142236,newcapa,A1
76,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Biomass Power Plant,summer,all-week,day,31.154603226098846,newcapa,A1
77,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Biomass Power Plant,summer,all-week,night,187.75839284142236,newcapa,A1
78,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Biomass Power Plant,winter,all-week,day,31.154603226098846,newcapa,A1
79,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Biomass Power Plant,winter,all-week,night,187.75839284142236,newcapa,A1
80,Kenya,2050,528fc03b-57e8-4752-9280-d8d9910e825f,CSP with Storage,Geothermal Power Plant,autumn,all-week,day,31.154603226098846,newcapa,A1
