ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Light Fuel Oil Power Plant,Venezuela,2050,fixed,38.05175038051751,1.0,0.47564687975646885,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Venezuela,2015,fixed,23.782343987823445,1.0,0.7293252156265856,1.0,3.17e-06,1.0,0,0,0,20.0,0.4,0.001,42.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Venezuela,2025,fixed,23.782343987823445,1.0,0.7293252156265856,1.0,3.17e-06,1.0,0,0,0,20.0,0.4,0.001,42.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Venezuela,2030,fixed,23.782343987823445,1.0,0.7293252156265856,1.0,3.17e-06,1.0,0,0,0,20.0,0.4,0.001,42.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Venezuela,2040,fixed,23.782343987823445,1.0,0.7293252156265856,1.0,3.17e-06,1.0,0,0,0,20.0,0.4,0.001,42.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Venezuela,2050,fixed,23.782343987823445,1.0,0.7293252156265856,1.0,3.17e-06,1.0,0,0,0,20.0,0.4,0.001,42.0,0.1,energy,LFO,electricity,1.0
Medium Hydropower Plant (10-100MW),Venezuela,2015,fixed,79.27447995941148,1.0,2.3782343987823444,1.0,3.17e-06,1.0,10.0,5.0,1449.1422719999998,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Medium Hydropower Plant (10-100MW),Venezuela,2025,fixed,79.27447995941148,1.0,2.3782343987823444,1.0,3.17e-06,1.0,10.0,5.0,1449.1422719999998,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Medium Hydropower Plant (10-100MW),Venezuela,2030,fixed,79.27447995941148,1.0,2.3782343987823444,1.0,3.17e-06,1.0,10.0,5.0,1449.1422719999998,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Medium Hydropower Plant (10-100MW),Venezuela,2040,fixed,79.27447995941148,1.0,2.3782343987823444,1.0,3.17e-06,1.0,10.0,5.0,1449.1422719999998,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Medium Hydropower Plant (10-100MW),Venezuela,2050,fixed,79.27447995941148,1.0,2.3782343987823444,1.0,3.17e-06,1.0,10.0,5.0,1449.1422719999998,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Nuclear Power Plant,Venezuela,2015,fixed,200.34246575342468,1.0,6.01027397260274,1.0,3.17e-06,1.0,0,0,0,40.0,0.85,1.0,35.0,0.1,energy,uranium,electricity,1.0
Nuclear Power Plant,Venezuela,2025,fixed,200.34246575342468,1.0,6.01027397260274,1.0,3.17e-06,1.0,0,0,0,40.0,0.85,1.0,35.0,0.1,energy,uranium,electricity,1.0
Nuclear Power Plant,Venezuela,2030,fixed,200.34246575342468,1.0,6.01027397260274,1.0,3.17e-06,1.0,0,0,0,40.0,0.85,1.0,35.0,0.1,energy,uranium,electricity,1.0
Nuclear Power Plant,Venezuela,2040,fixed,200.34246575342468,1.0,6.01027397260274,1.0,3.17e-06,1.0,0,0,0,40.0,0.85,1.0,35.0,0.1,energy,uranium,electricity,1.0
Nuclear Power Plant,Venezuela,2050,fixed,200.34246575342468,1.0,6.01027397260274,1.0,3.17e-06,1.0,0,0,0,40.0,0.85,1.0,35.0,0.1,energy,uranium,electricity,1.0
Offshore Wind,Venezuela,2015,fixed,130.1369863013699,1.0,4.98255961440893,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.3,1.0,100.0,0.1,energy,wind,electricity,1.0
Offshore Wind,Venezuela,2025,fixed,118.98687214611874,1.0,4.98255961440893,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.3,1.0,100.0,0.1,energy,wind,electricity,1.0
Offshore Wind,Venezuela,2030,fixed,113.41197361745309,1.0,4.98255961440893,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.3,1.0,100.0,0.1,energy,wind,electricity,1.0
Offshore Wind,Venezuela,2040,fixed,102.26185946220194,1.0,4.98255961440893,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.3,1.0,100.0,0.1,energy,wind,electricity,1.0
Offshore Wind,Venezuela,2050,fixed,91.11174530695081,1.0,4.98255961440893,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.3,1.0,100.0,0.1,energy,wind,electricity,1.0
Oil Fired Gas Turbine (SCGT),Venezuela,2015,fixed,44.393708777270426,1.0,0.7927447995941148,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,HFO,electricity,1.0
Oil Fired Gas Turbine (SCGT),Venezuela,2025,fixed,44.393708777270426,1.0,0.7927447995941148,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,HFO,electricity,1.0
Oil Fired Gas Turbine (SCGT),Venezuela,2030,fixed,44.393708777270426,1.0,0.7927447995941148,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,HFO,electricity,1.0
Oil Fired Gas Turbine (SCGT),Venezuela,2040,fixed,44.393708777270426,1.0,0.7927447995941148,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,HFO,electricity,1.0
Oil Fired Gas Turbine (SCGT),Venezuela,2050,fixed,44.393708777270426,1.0,0.7927447995941148,1.0,3.17e-06,1.0,0,0,0,25.0,0.85,1.0,35.0,0.1,energy,HFO,electricity,1.0
Onshore Wind,Venezuela,2015,fixed,51.36986301369864,1.0,2.5177574835109087,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.2,1.0,100.0,0.1,energy,wind,electricity,1.0
Onshore Wind,Venezuela,2025,fixed,48.98053018772198,1.0,1.510654490106545,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.2,1.0,100.0,0.1,energy,wind,electricity,1.0
