,ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
16,Small Hydropower Plant (<10MW),Botswana,2020,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
17,Onshore Wind,Botswana,2020,fixed,1489000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
18,Offshore Wind,Botswana,2020,fixed,3972400.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,Electricity,1.0
19,Solar PV (Distributed with Storage),Botswana,2020,fixed,4320000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
20,Biomass Power Plant,Botswana,2025,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
21,Solar PV (Utility),Botswana,2025,fixed,984000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
22,CSP without Storage,Botswana,2025,fixed,3269000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
23,CSP with Storage,Botswana,2025,fixed,4670000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
24,Large Hydropower Plant (Dam) (>100MW),Botswana,2025,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,100.0,1.0,0.1,energy,hydro,Electricity,1.0
25,Medium Hydropower Plant (10-100MW),Botswana,2025,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
26,Small Hydropower Plant (<10MW),Botswana,2025,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
27,Onshore Wind,Botswana,2025,fixed,1191000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
28,Offshore Wind,Botswana,2025,fixed,3020900.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,Electricity,1.0
29,Solar PV (Distributed with Storage),Botswana,2025,fixed,3415000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
30,Biomass Power Plant,Botswana,2030,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
31,Solar PV (Utility),Botswana,2030,fixed,886000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
32,CSP without Storage,Botswana,2030,fixed,2634000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
33,CSP with Storage,Botswana,2030,fixed,3763000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
34,Large Hydropower Plant (Dam) (>100MW),Botswana,2030,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,100.0,1.0,0.1,energy,hydro,Electricity,1.0
35,Medium Hydropower Plant (10-100MW),Botswana,2030,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
36,Small Hydropower Plant (<10MW),Botswana,2030,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
37,Onshore Wind,Botswana,2030,fixed,1087000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
38,Offshore Wind,Botswana,2030,fixed,2450000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,Electricity,1.0
39,Solar PV (Distributed with Storage),Botswana,2030,fixed,2700000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
40,Biomass Power Plant,Botswana,2040,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
41,Solar PV (Utility),Botswana,2040,fixed,723000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
42,CSP without Storage,Botswana,2040,fixed,2562000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
43,CSP with Storage,Botswana,2040,fixed,3660000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
44,Large Hydropower Plant (Dam) (>100MW),Botswana,2040,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,100.0,1.0,0.1,energy,hydro,Electricity,1.0
45,Medium Hydropower Plant (10-100MW),Botswana,2040,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
46,Small Hydropower Plant (<10MW),Botswana,2040,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
47,Onshore Wind,Botswana,2040,fixed,933000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
48,Offshore Wind,Botswana,2040,fixed,2275000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,Electricity,1.0
49,Solar PV (Distributed with Storage),Botswana,2040,fixed,2091000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
50,Biomass Power Plant,Botswana,2050,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
51,Solar PV (Utility),Botswana,2050,fixed,723000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
52,CSP without Storage,Botswana,2050,fixed,2562000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
53,CSP with Storage,Botswana,2050,fixed,3660000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
54,Large Hydropower Plant (Dam) (>100MW),Botswana,2050,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,100.0,1.0,0.1,energy,hydro,Electricity,1.0
55,Medium Hydropower Plant (10-100MW),Botswana,2050,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
56,Small Hydropower Plant (<10MW),Botswana,2050,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.23,10.0,1.0,0.1,energy,hydro,Electricity,1.0
57,Onshore Wind,Botswana,2050,fixed,933000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
58,Offshore Wind,Botswana,2050,fixed,2100000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,Electricity,1.0
59,Solar PV (Distributed with Storage),Botswana,2050,fixed,2091000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.35,1.0,1.0,0.1,energy,solar,Electricity,1.0
